64.	Wolfsburg	90.115	125.935	128.510	121.805	121.451	123.914	Niedersachsen
65.	Göttingen	109.892	129.656	121.831	124.132	121.060	119.529	Niedersachsen
66.	Bottrop	106.225	114.571	118.936	120.611	116.771	117.364	Nordrhein-Westfalen
67.	Reutlingen	79.705	95.456	103.687	110.650	112.484	115.762	Baden-Württemberg
68.	Koblenz	120.079	113.676	108.733	107.950	106.417	113.844	Rheinland-Pfalz
69.	Recklinghausen	125.369	119.418	125.060	124.785	118.365	113.360	Nordrhein-Westfalen
70.	Bremerhaven	142.919	138.728	130.446	120.822	113.366	113.026	Bremen
71.	Bergisch Gladbach	50.228	101.472	104.037	105.693	105.723	111.627	Nordrhein-Westfalen
72.	Jena	88.130	103.718	102.518	99.893	105.129	111.099	Thüringen
73.	Erlangen	85.061	101.845	102.440	100.778	105.629	110.998	Bayern
74.	Remscheid	136.822	129.082	123.155	119.287	110.563	110.584	Nordrhein-Westfalen
75.	Trier	103.598	95.536	97.835	99.410	105.260	110.013	Rheinland-Pfalz
76.	Salzgitter	119.031	113.600	114.355	112.302	102.394	104.548	Niedersachsen
77.	Moers	53.410	99.923	104.595	107.062	105.506	103.949	Nordrhein-Westfalen
78.	Siegen	57.563	112.320	109.174	108.476	103.424	102.337	Nordrhein-Westfalen
79.	Hildesheim	93.373	102.619	105.291	103.909	102.794	101.744	Niedersachsen
80.	Cottbus	83.444	113.479	125.891	108.491	102.091	101.036	Brandenburg
81.	Kaiserslautern	100.696	98.745	99.351	99.825	99.184	99.684	Rheinland-Pfalz
82.	Gütersloh	75.912	78.221	86.807	95.158	96.404	99.315	Nordrhein-Westfalen
83.	Witten	97.687	105.876	105.403	103.196	98.233	96.565	Nordrhein-Westfalen
84.	Hanau	55.492	86.402	86.913	88.294	88.637	96.130	Hessen
85.	Schwerin	97.389	121.175	127.447	101.267	95.220	95.797	Mecklenburg-Vorpommern
86.	Gera	111.535	125.383	129.037	112.835	99.262	94.859	Thüringen
87.	Ludwigsburg	78.111	81.589	82.343	87.146	87.735	93.593	Baden-Württemberg
88.	Esslingen am Neckar	87.371	90.835	91.685	89.667	91.869	93.004	Baden-Württemberg
89.	Iserlohn	57.321	93.823	96.314	98.790	94.966	92.928	Nordrhein-Westfalen
90.	Düren	53.755	85.913	86.508	91.801	92.820	90.502	Nordrhein-Westfalen
91.	Zwickau	126.988	122.129	114.632	103.008	93.750	90.192	Sachsen
92.	Tübingen	55.168	73.132	80.372	81.128	88.358	89.447	Baden-Württemberg
93.	Flensburg	95.366	87.862	86.977	84.281	88.759	88.519	Schleswig-Holstein
94.	Gießen	75.532	76.374	74.497	73.138	77.366	87.343	Hessen
95.	Ratingen	44.479	89.466	91.007	91.437	91.088	87.226	Nordrhein-Westfalen
96.	Lünen	71.826	85.872	87.845	92.017	87.530	86.465	Nordrhein-Westfalen
97.	Villingen-Schwenningen3	37.999	78.904	78.218	80.891	81.022	84.557	Baden-Württemberg
98.	Konstanz	61.614	68.305	75.089	78.087	84.693	84.440	Baden-Württemberg
99.	Marl	76.999	89.082	91.467	93.256	87.557	83.695	Nordrhein-Westfalen
100.	Worms	77.064	73.603	76.503	80.361	81.736	83.081	Rheinland-Pfalz
101.	Dessau-Roßlau2	98.402	102.529	96.754	83.153	86.906	82.111	Sachsen-Anhalt
102.	Velbert	55.610	93.056	89.253	89.782	84.033	82.061	Nordrhein-Westfalen
103.	Minden	48.860	77.713	78.145	83.079	82.114	81.698	Nordrhein-Westfalen
104.	Neumünster	86.133	80.145	80.743	79.831	76.830	79.335	Schleswig-Holstein
105.	Norderstedt	55.770	65.301	68.450	71.523	71.992	78.679	Schleswig-Holstein
106.	Delmenhorst	63.870	72.370	75.154	76.644	74.361	77.521	Niedersachsen
107.	Bamberg	70.384	71.928	70.521	69.036	70.004	77.179	Bayern
108.	Viersen	85.698	81.114	77.453	77.130	75.360	76.586	Nordrhein-Westfalen
109.	Wilhelmshaven	102.978	99.230	90.561	85.287	81.324	76.316	Niedersachsen
110.	Marburg	47.230	76.419	74.146	77.390	80.656	76.226	Hessen
111.	Rheine	50.076	71.432	70.452	75.886	76.530	76.018	Nordrhein-Westfalen
112.	Gladbeck	83.132	79.747	80.267	77.789	75.253	75.689	Nordrhein-Westfalen
